experiment,lineage_id,panel,model,interface,condition,arm,task_id,repository_id,mechanism,prompt_class,prompt_pair_id,prompt_budget,prompt_token_count,correct,valid_final,runtime_complete,parser_rejections,action_rejections,max_steps,tool_calls,turn_count,source_acquired,session,repetition,request_seed,error_class,contract_valid
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,DISRUPT,DISRUPT,F22-COM-03,IC-COMPOSE,failure,,,,,0,,1,,0,0,2,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,CLEAN,CLEAN,F22-MAV-02,IC-MAVEN,corruption,,,,,1,,1,,0,0,4,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,PRESERVE,PRESERVE,F22-PRO-03,IC-PROMETHEUS,failure,,,,,0,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,CLEAN,CLEAN,F22-KUS-04,IC-KUSTOMIZE,removal,,,,,1,,1,,0,0,2,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,PRESERVE,PRESERVE,F22-NOD-02,IC-NODE,corruption,,,,,0,,1,,0,0,2,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,CLEAN,CLEAN,F22-KUS-03,IC-KUSTOMIZE,failure,,,,,1,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,DISRUPT,DISRUPT,F22-FLA-04,IC-FLASK,removal,,,,,0,,1,,0,0,0,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,PRESERVE,PRESERVE,F22-MAV-03,IC-MAVEN,failure,,,,,1,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,CLEAN,CLEAN,F22-COM-02,IC-COMPOSE,corruption,,,,,1,,1,,0,0,1,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,CLEAN,CLEAN,F22-KUS-01,IC-KUSTOMIZE,conflict,,,,,1,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,CLEAN,CLEAN,F22-FLA-04,IC-FLASK,removal,,,,,0,,1,,0,0,0,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,DISRUPT,DISRUPT,F22-PRO-04,IC-PROMETHEUS,removal,,,,,1,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,PRESERVE,PRESERVE,F22-CUR-04,IC-CURL,removal,,,,,1,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,DISRUPT,DISRUPT,F22-NOD-03,IC-NODE,failure,,,,,0,,1,,0,0,0,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,CLEAN,CLEAN,F22-NOD-01,IC-NODE,conflict,,,,,1,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,CLEAN,CLEAN,F22-COM-04,IC-COMPOSE,removal,,,,,1,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,DISRUPT,DISRUPT,F22-PRO-01,IC-PROMETHEUS,conflict,,,,,1,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,DISRUPT,DISRUPT,F22-PRO-02,IC-PROMETHEUS,corruption,,,,,0,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,PRESERVE,PRESERVE,F22-NOD-04,IC-NODE,removal,,,,,0,,1,,0,0,2,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,PRESERVE,PRESERVE,F22-COM-01,IC-COMPOSE,conflict,,,,,1,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,DISRUPT,DISRUPT,F22-KUS-03,IC-KUSTOMIZE,failure,,,,,0,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,DISRUPT,DISRUPT,F22-MAV-02,IC-MAVEN,corruption,,,,,1,,1,,0,0,4,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,PRESERVE,PRESERVE,F22-CUR-02,IC-CURL,corruption,,,,,1,,1,,0,0,2,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,PRESERVE,PRESERVE,F22-CAR-01,IC-CARGO,conflict,,,,,1,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,PRESERVE,PRESERVE,F22-MAV-04,IC-MAVEN,removal,,,,,1,,1,,0,0,1,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,DISRUPT,DISRUPT,F22-CUR-01,IC-CURL,conflict,,,,,1,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,DISRUPT,DISRUPT,F22-COM-02,IC-COMPOSE,corruption,,,,,0,,1,,0,0,1,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,DISRUPT,DISRUPT,F22-KUS-02,IC-KUSTOMIZE,corruption,,,,,0,,1,,0,0,2,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,PRESERVE,PRESERVE,F22-NOD-01,IC-NODE,conflict,,,,,1,,1,,0,0,5,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,CLEAN,CLEAN,F22-FLA-01,IC-FLASK,conflict,,,,,1,,1,,0,0,4,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,CLEAN,CLEAN,F22-CAR-04,IC-CARGO,removal,,,,,1,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,DISRUPT,DISRUPT,F22-MAV-01,IC-MAVEN,conflict,,,,,0,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,CLEAN,CLEAN,F22-CUR-02,IC-CURL,corruption,,,,,1,,1,,0,0,2,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,CLEAN,CLEAN,F22-CAR-02,IC-CARGO,corruption,,,,,1,,1,,0,0,2,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,PRESERVE,PRESERVE,F22-NOD-03,IC-NODE,failure,,,,,0,,1,,0,0,0,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,CLEAN,CLEAN,F22-CAR-01,IC-CARGO,conflict,,,,,1,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,DISRUPT,DISRUPT,F22-KUS-01,IC-KUSTOMIZE,conflict,,,,,1,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,PRESERVE,PRESERVE,F22-KUS-03,IC-KUSTOMIZE,failure,,,,,1,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,CLEAN,CLEAN,F22-COM-01,IC-COMPOSE,conflict,,,,,1,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,CLEAN,CLEAN,F22-CAR-03,IC-CARGO,failure,,,,,1,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,PRESERVE,PRESERVE,F22-MAV-02,IC-MAVEN,corruption,,,,,1,,1,,0,0,4,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,DISRUPT,DISRUPT,F22-MAV-03,IC-MAVEN,failure,,,,,1,,1,,0,0,4,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,CLEAN,CLEAN,F22-FLA-03,IC-FLASK,failure,,,,,1,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,DISRUPT,DISRUPT,F22-CAR-01,IC-CARGO,conflict,,,,,0,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,DISRUPT,DISRUPT,F22-CAR-03,IC-CARGO,failure,,,,,1,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,CLEAN,CLEAN,F22-MAV-03,IC-MAVEN,failure,,,,,1,,1,,0,0,4,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,PRESERVE,PRESERVE,F22-COM-02,IC-COMPOSE,corruption,,,,,1,,1,,0,0,1,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,CLEAN,CLEAN,F22-CUR-04,IC-CURL,removal,,,,,1,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,CLEAN,CLEAN,F22-PRO-03,IC-PROMETHEUS,failure,,,,,0,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,PRESERVE,PRESERVE,F22-CAR-02,IC-CARGO,corruption,,,,,1,,1,,0,0,1,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,PRESERVE,PRESERVE,F22-FLA-01,IC-FLASK,conflict,,,,,1,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,DISRUPT,DISRUPT,F22-NOD-02,IC-NODE,corruption,,,,,0,,1,,0,0,2,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,DISRUPT,DISRUPT,F22-FLA-02,IC-FLASK,corruption,,,,,0,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,CLEAN,CLEAN,F22-PRO-01,IC-PROMETHEUS,conflict,,,,,1,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,CLEAN,CLEAN,F22-CUR-01,IC-CURL,conflict,,,,,1,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,DISRUPT,DISRUPT,F22-MAV-04,IC-MAVEN,removal,,,,,1,,1,,0,0,1,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,DISRUPT,DISRUPT,F22-KUS-04,IC-KUSTOMIZE,removal,,,,,1,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,DISRUPT,DISRUPT,F22-CAR-02,IC-CARGO,corruption,,,,,1,,1,,0,0,2,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,PRESERVE,PRESERVE,F22-KUS-01,IC-KUSTOMIZE,conflict,,,,,1,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,CLEAN,CLEAN,F22-NOD-03,IC-NODE,failure,,,,,0,,1,,0,0,0,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,DISRUPT,DISRUPT,F22-CUR-04,IC-CURL,removal,,,,,1,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,PRESERVE,PRESERVE,F22-COM-03,IC-COMPOSE,failure,,,,,1,,1,,0,0,2,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,PRESERVE,PRESERVE,F22-PRO-02,IC-PROMETHEUS,corruption,,,,,1,,1,,0,0,3,,,,,,,
authentic_repository_evaluation,F,,Qwen3,NATIVE_TOOL_CALL,CLEAN,CLEAN,F22-NOD-02,IC-NODE,corruption,,,,,0,,1,,0,0,2,,,,,,,
